Start - 2018-08-08
14:39:12: 112: ** ERROR ** : RecordType: AAAA | RequestId: 51851 | SrcIP: 176.10.99.200  |  SrcPort: 9733  |  Domain: ns.dnstestsuite.space
14:39:12: 113: ** ERROR ** : RecordType: AAAA | RequestId: 2273 | SrcIP: 176.10.99.200  |  SrcPort: 56931  |  Domain: ns.dnstestsuite.space
14:39:23: 114: RecordType: A | RequestId: 58804 | SrcIP: 176.10.99.200  |  SrcPort: 12632  |  Domain: ns.dnstestsuite.space
14:39:23: 115: RecordType: A | RequestId: 15139 | SrcIP: 176.10.99.200  |  SrcPort: 34031  |  Domain: 77_176-10-99-206.dnSTeSTsUIte.SpAcE
14:39:23: 116: RecordType: A | RequestId: 62028 | SrcIP: 176.10.99.200  |  SrcPort: 61676  |  Domain: ns2.dnstestsuite.space
14:39:23: 117: ** ERROR ** : RecordType: AAAA | RequestId: 9977 | SrcIP: 176.10.99.200  |  SrcPort: 62663  |  Domain: ns.dnstestsuite.space
14:39:23: 118: RecordType: A | RequestId: 21411 | SrcIP: 176.10.99.200  |  SrcPort: 27254  |  Domain: ns2.dnstestsuite.space
14:39:23: 119: ** ERROR ** : RecordType: AAAA | RequestId: 63983 | SrcIP: 176.10.99.200  |  SrcPort: 39292  |  Domain: ns.dnstestsuite.space
14:39:23: 120: ** ERROR ** : RecordType: AAAA | RequestId: 169 | SrcIP: 176.10.99.200  |  SrcPort: 19695  |  Domain: ns2.dnstestsuite.space
14:39:23: 121: ** ERROR ** : RecordType: AAAA | RequestId: 12782 | SrcIP: 176.10.99.200  |  SrcPort: 16469  |  Domain: ns.dnstestsuite.space
14:39:23: 122: ** ERROR ** : RecordType: AAAA | RequestId: 34362 | SrcIP: 176.10.99.200  |  SrcPort: 63296  |  Domain: ns2.dnstestsuite.space
14:39:23: 123: ** ERROR ** : RecordType: AAAA | RequestId: 17023 | SrcIP: 176.10.99.200  |  SrcPort: 37120  |  Domain: ns.dnstestsuite.space
14:39:23: 124: ** ERROR ** : RecordType: AAAA | RequestId: 32885 | SrcIP: 176.10.99.200  |  SrcPort: 46236  |  Domain: ns2.dnstestsuite.space
14:39:23: 125: ** ERROR ** : RecordType: AAAA | RequestId: 46271 | SrcIP: 176.10.99.200  |  SrcPort: 35888  |  Domain: ns.dnstestsuite.space
14:39:24: 126: ** ERROR ** : RecordType: AAAA | RequestId: 1908 | SrcIP: 176.10.99.200  |  SrcPort: 58971  |  Domain: ns2.dnstestsuite.space
14:39:24: 127: ** ERROR ** : RecordType: AAAA | RequestId: 60560 | SrcIP: 176.10.99.200  |  SrcPort: 13778  |  Domain: ns.dnstestsuite.space
