Start - 2018-08-11
00:58:49 2018-08-11 - 243: ** ERROR ** : | RecordType: AAAA | RequestId: 15748 | SrcIP: 51.15.33.4  |  SrcPort: 58466  |  Domain: 51-15-64-212.DNSTestsuITE.sPaCe 
00:58:49 2018-08-11 - 244: ** ERROR ** : | RecordType: AAAA | RequestId: 53703 | SrcIP: 51.15.33.4  |  SrcPort: 44294  |  Domain: ns.dnstestsuite.space 
00:58:50 2018-08-11 - 245: | RecordType: A | RequestId: 28053 | SrcIP: 51.15.33.4  |  SrcPort: 46320  |  Domain: ns.dnstestsuite.space 
00:58:50 2018-08-11 - 246: | RecordType: A | RequestId: 46572 | SrcIP: 51.15.33.4  |  SrcPort: 35626  |  Domain: ns2.dnstestsuite.space 
00:58:54 2018-08-11 - 247: ** ERROR ** : | RecordType: AAAA | RequestId: 28763 | SrcIP: 74.125.47.152  |  SrcPort: 48161  |  Domain: 51-15-64-212.DNSTestsuITE.sPaCe 
00:59:00 2018-08-11 - 248: | RecordType: A | RequestId: 63034 | SrcIP: 74.125.47.8  |  SrcPort: 48510  |  Domain: 1_51-15-64-212.dNstEsTSuitE.SPAcE 
00:59:01 2018-08-11 - 249: ** ERROR ** : | RecordType: AAAA | RequestId: 45430 | SrcIP: 51.15.33.4  |  SrcPort: 9868  |  Domain: ns.dnstestsuite.space 
00:59:01 2018-08-11 - 250: ** ERROR ** : | RecordType: AAAA | RequestId: 41853 | SrcIP: 51.15.33.4  |  SrcPort: 21545  |  Domain: ns.dnstestsuite.space 
00:59:01 2018-08-11 - 251: ** ERROR ** : | RecordType: AAAA | RequestId: 59017 | SrcIP: 51.15.33.4  |  SrcPort: 14121  |  Domain: ns.dnstestsuite.space 
00:59:01 2018-08-11 - 252: ** ERROR ** : | RecordType: AAAA | RequestId: 9419 | SrcIP: 51.15.33.4  |  SrcPort: 65426  |  Domain: ns.dnstestsuite.space 
00:59:01 2018-08-11 - 253: ** ERROR ** : | RecordType: AAAA | RequestId: 56691 | SrcIP: 51.15.33.4  |  SrcPort: 31688  |  Domain: ns.dnstestsuite.space 
00:59:01 2018-08-11 - 254: ** ERROR ** : | RecordType: AAAA | RequestId: 5484 | SrcIP: 51.15.33.4  |  SrcPort: 58704  |  Domain: ns.dnstestsuite.space 
