Start - 2018-07-17
00:18:03: 162: RecordType: A | RequestId: 2767 | SrcIP: 91.198.250.2  |  SrcPort: 47699  |  Domain : 23_80-241-60-207.DNSteSTSuitE.SpACe
00:18:04: 163: RecordType: A | RequestId: 36919 | SrcIP: 195.10.208.2  |  SrcPort: 43856  |  Domain : 24_80-241-60-207.dnSTestSUITe.SpacE
00:18:05: 164: RecordType: A | RequestId: 54561 | SrcIP: 80.241.59.2  |  SrcPort: 39422  |  Domain : 25_80-241-60-207.dnsTEsTSuIte.SPACE
00:18:05: 165: RecordType: A | RequestId: 35558 | SrcIP: 195.10.208.2  |  SrcPort: 46206  |  Domain : 26_80-241-60-207.dNsTesTSUiTe.SpAcE
00:18:06: 166: RecordType: A | RequestId: 24746 | SrcIP: 91.198.250.2  |  SrcPort: 35952  |  Domain : 27_80-241-60-207.dnSTESTsUitE.spACE
00:18:06: 167: RecordType: A | RequestId: 52215 | SrcIP: 91.198.250.2  |  SrcPort: 45730  |  Domain : 28_80-241-60-207.dNstesTSUITE.sPAcE
00:18:07: 168: RecordType: A | RequestId: 3675 | SrcIP: 80.241.59.2  |  SrcPort: 52921  |  Domain : 29_80-241-60-207.DnsteStSUITE.SpAcE
00:18:07: 169: RecordType: A | RequestId: 58486 | SrcIP: 91.198.250.2  |  SrcPort: 38282  |  Domain : 30_80-241-60-207.dnsteSTsuiTe.spacE
00:18:08: 170: RecordType: A | RequestId: 38046 | SrcIP: 80.241.59.2  |  SrcPort: 56879  |  Domain : 31_80-241-60-207.DnSTESTSUIte.SpaCE
00:18:08: 171: RecordType: A | RequestId: 49394 | SrcIP: 80.241.59.2  |  SrcPort: 56314  |  Domain : 32_80-241-60-207.dNstesTsUItE.SPacE
00:18:09: 172: RecordType: A | RequestId: 9882 | SrcIP: 91.198.250.2  |  SrcPort: 49954  |  Domain : 33_80-241-60-207.dnsTestSUIte.space
00:18:10: 173: RecordType: A | RequestId: 25750 | SrcIP: 80.241.59.2  |  SrcPort: 54832  |  Domain : 34_80-241-60-207.dNstesTsUitE.SpaCE
00:18:10: 174: RecordType: A | RequestId: 13243 | SrcIP: 91.198.250.2  |  SrcPort: 54486  |  Domain : 35_80-241-60-207.DNsteStsuiTe.SPAcE
00:18:11: 175: RecordType: A | RequestId: 60636 | SrcIP: 80.241.59.2  |  SrcPort: 57899  |  Domain : 36_80-241-60-207.dNStestSUITE.SpAcE
00:18:11: 176: RecordType: A | RequestId: 47585 | SrcIP: 91.198.250.2  |  SrcPort: 59083  |  Domain : 37_80-241-60-207.DNSTEsTsUItE.space
00:18:12: 177: RecordType: A | RequestId: 55943 | SrcIP: 195.10.208.2  |  SrcPort: 57110  |  Domain : 38_80-241-60-207.DnsTesTsuiTe.SpacE
00:18:12: 178: RecordType: A | RequestId: 60 | SrcIP: 80.241.59.2  |  SrcPort: 45890  |  Domain : 39_80-241-60-207.DnSteStSUite.spaCe
00:18:13: 179: RecordType: A | RequestId: 17860 | SrcIP: 91.198.250.2  |  SrcPort: 57196  |  Domain : 40_80-241-60-207.dnsTEStsUiTe.spaCe
00:18:14: 180: RecordType: A | RequestId: 14251 | SrcIP: 195.10.208.2  |  SrcPort: 49872  |  Domain : 41_80-241-60-207.dnSTestsUite.spaCe
00:18:14: 181: RecordType: A | RequestId: 30136 | SrcIP: 80.241.59.2  |  SrcPort: 45072  |  Domain : 42_80-241-60-207.dNSTEstSUItE.SpACE
00:18:15: 182: RecordType: A | RequestId: 55912 | SrcIP: 91.198.250.2  |  SrcPort: 53809  |  Domain : 43_80-241-60-207.DnStesTsuitE.spACe
00:18:15: 183: RecordType: A | RequestId: 23125 | SrcIP: 195.10.208.2  |  SrcPort: 60536  |  Domain : 44_80-241-60-207.dnSTeStsUIte.SPAce
00:18:16: 184: RecordType: A | RequestId: 1938 | SrcIP: 80.241.59.2  |  SrcPort: 60954  |  Domain : 45_80-241-60-207.DNSteStsuite.sPACe
