Start - 2018-08-10
00:02:11: 25859: RecordType: A | RequestId: 5694 | SrcIP: 162.158.82.184  |  SrcPort: 48491  |  Domain: 41_104-244-78-207.DNstEStsuiTe.SpAce
00:02:12: 25860: RecordType: A | RequestId: 34554 | SrcIP: 162.158.82.184  |  SrcPort: 31770  |  Domain: 42_104-244-78-207.DNStESTsuIte.spaCE
00:02:12: 25861: RecordType: A | RequestId: 34554 | SrcIP: 162.158.82.184  |  SrcPort: 56989  |  Domain: 42_104-244-78-207.DNStESTsuIte.spaCE
00:02:12: 25862: RecordType: A | RequestId: 12333 | SrcIP: 162.158.82.184  |  SrcPort: 22794  |  Domain: 43_104-244-78-207.dnStEstSuite.SpAcE
00:02:13: 25863: RecordType: A | RequestId: 2766 | SrcIP: 162.158.82.184  |  SrcPort: 46602  |  Domain: 44_104-244-78-207.dNSTeStSUiTe.spaCE
00:02:14: 25864: RecordType: A | RequestId: 63890 | SrcIP: 162.158.82.184  |  SrcPort: 11173  |  Domain: 45_104-244-78-207.dnstESTSUIte.sPaCE
00:02:15: 25865: RecordType: A | RequestId: 42391 | SrcIP: 162.158.82.184  |  SrcPort: 29274  |  Domain: 46_104-244-78-207.DNStEstSUIte.space
00:02:15: 25866: RecordType: A | RequestId: 42391 | SrcIP: 162.158.82.184  |  SrcPort: 14755  |  Domain: 46_104-244-78-207.DNStEstSUIte.space
00:02:15: 25867: RecordType: A | RequestId: 306 | SrcIP: 162.158.82.184  |  SrcPort: 47694  |  Domain: 47_104-244-78-207.DNsTeStSuITe.SpaCE
00:02:15: 25868: RecordType: A | RequestId: 306 | SrcIP: 162.158.82.184  |  SrcPort: 47120  |  Domain: 47_104-244-78-207.DNsTeStSuITe.SpaCE
00:02:17: 25869: RecordType: A | RequestId: 10964 | SrcIP: 162.158.82.184  |  SrcPort: 47072  |  Domain: 48_104-244-78-207.DnSTEStSuiTE.SPaCE
00:02:17: 25870: RecordType: A | RequestId: 10964 | SrcIP: 162.158.82.184  |  SrcPort: 14366  |  Domain: 48_104-244-78-207.DnSTEStSuiTE.SPaCE
00:02:18: 25871: RecordType: A | RequestId: 13433 | SrcIP: 162.158.82.184  |  SrcPort: 63574  |  Domain: 49_104-244-78-207.DNSTESTsuiTE.SpACe
00:02:19: 25872: RecordType: A | RequestId: 31271 | SrcIP: 162.158.82.184  |  SrcPort: 36365  |  Domain: 50_104-244-78-207.DnsteSTSUITe.sPace
00:02:19: 25873: RecordType: A | RequestId: 31271 | SrcIP: 162.158.82.184  |  SrcPort: 9490  |  Domain: 50_104-244-78-207.DnsteSTSUITe.sPace
00:02:22: 25874: RecordType: A | RequestId: 36941 | SrcIP: 162.158.82.184  |  SrcPort: 21976  |  Domain: 51_104-244-78-207.dnSTESTSuite.SPAcE
00:02:23: 25875: RecordType: A | RequestId: 46010 | SrcIP: 162.158.82.184  |  SrcPort: 33809  |  Domain: 52_104-244-78-207.DNstEstSUitE.SPace
00:02:23: 25876: RecordType: A | RequestId: 3042 | SrcIP: 162.158.82.184  |  SrcPort: 59160  |  Domain: 53_104-244-78-207.dNSTeStSUite.SpaCE
